sigle;optionnel;credits
ALM300;VRAI;2
BCL102;FAUX;3
BCM104;FAUX;1
BCM112;FAUX;2
BCM113;FAUX;1
BIM302;VRAI;2
BIO101;FAUX;3
BIO109;FAUX;1
BIO300;FAUX;3
BIO301;VRAI;2
BIO401;VRAI;3
BIO500;FAUX;2
BOT106;FAUX;3
BOT400;FAUX;1
BOT512;FAUX;3
CHM319;VRAI;1
CHM402;VRAI;3
COR200;FAUX;2
ECL110;FAUX;3
ECL307;FAUX;1
ECL308;FAUX;3
ECL315;VRAI;3
ECL403;FAUX;1
ECL404;FAUX;3
ECL406;FAUX;1
ECL510;FAUX;3
ECL515;FAUX;2
ECL516;FAUX;3
ECL522;VRAI;3
ECL527;FAUX;2
ECL530;VRAI;2
ECL535;VRAI;1
ECL544;VRAI;3
ECL603;VRAI;1
ECL604;FAUX;2
ECL606;VRAI;3
ECL607;VRAI;3
ECL608;VRAI;3
ECL610;FAUX;2
ECL611;FAUX;1
ECL615;FAUX;1
ECL617;VRAI;2
ECL618;VRAI;4
ECL619;VRAI;4
ECN109;VRAI;3
EMB106;VRAI;3
ENT101;VRAI;1
ENT102;VRAI;2
GBI104;VRAI;1
GMQ106;VRAI;3
GNT302;FAUX;3
GNT404;VRAI;1
INS154;VRAI;3
MCB100;FAUX;3
MCB101;FAUX;1
PSL105;FAUX;3
TSB303;FAUX;2
ZOO105;FAUX;1
ZOO106;FAUX;3
ZOO304;VRAI;3
ZOO306;FAUX;1
ZOO307;FAUX;1
