sigle;optionnel;credits
BCL102;FAUX;3
BCM104;FAUX;1
BCM112;VRAI;2
BCM113;FAUX;1
BIO101;FAUX;3
BIO109;FAUX;1
BIO300;FAUX;3
BIO301;VRAI;2
BIO500;FAUX;2
BOT106;FAUX;3
BOT400;FAUX;1
BOT512;FAUX;3
COR200;FAUX;2
ECL110;FAUX;3
ECL115;VRAI;1
ECL116;VRAI;1
ECL117;VRAI;2
ECL215;VRAI;3
ECL216;VRAI;2
ECL307;FAUX;1
ECL403;FAUX;1
ECL404;FAUX;3
ECL406;VRAI;1
ECL510;FAUX;3
ECL515;FAUX;2
ECL516;FAUX;3
ECL527;FAUX;2
ECL535;VRAI;1
ECL604;FAUX;2
ECL606;VRAI;3
ECL610;FAUX;2
ECL615;FAUX;1
ECN109;VRAI;3
ENT102;VRAI;2
GNT302;FAUX;3
INS154;VRAI;3
MCB100;FAUX;3
MCB101;FAUX;1
PSL105;FAUX;3
TSB303;FAUX;1
ZOO105;FAUX;1
ZOO106;FAUX;3
ZOO306;FAUX;1
ZOO307;FAUX;1
